epoch,acc,loss,lr,val_acc,val_loss
0,0.229866666667,2.03965172115,0.009999999776482582,0.2924,1.98557151184
1,0.429511111111,1.54621744139,0.009999999776482582,0.5226,1.32638204613
2,0.532,1.29969097964,0.009999999776482582,0.5596,1.2310410141
3,0.598733333333,1.13385941417,0.009999999776482582,0.6204,1.05579723053
4,0.643711111111,1.01222848242,0.009999999776482582,0.651,1.01435349293
5,0.680666666667,0.919946888786,0.009999999776482582,0.7072,0.824375193787
6,0.711066666667,0.833325359662,0.009999999776482582,0.7612,0.693323521614
7,0.732622222222,0.76501214695,0.009999999776482582,0.7322,0.769255322456
8,0.752222222222,0.720289980517,0.009999999776482582,0.7308,0.756122361755
9,0.765911111111,0.677963016717,0.009999999776482582,0.7704,0.665905219078
10,0.777888888889,0.64069425941,0.009999999776482582,0.7744,0.649306967068
11,0.788155555556,0.607743133661,0.009999999776482582,0.794,0.603591092491
12,0.800133333333,0.583960089842,0.009999999776482582,0.7876,0.620701405144
13,0.809755555556,0.552204886076,0.009999999776482582,0.8014,0.587356658173
14,0.814666666667,0.536556770568,0.009999999776482582,0.8134,0.550920655823
15,0.822555555556,0.514717273898,0.009999999776482582,0.8022,0.569360993385
16,0.829933333333,0.492503897031,0.009999999776482582,0.8042,0.571945172501
17,0.834066666667,0.479631056107,0.009999999776482582,0.8248,0.53825807209
18,0.842222222222,0.45980008795,0.009999999776482582,0.8166,0.556875272274
19,0.8438,0.449941597176,0.009999999776482582,0.8202,0.538710016823
20,0.849755555556,0.433900188096,0.009999999776482582,0.8044,0.594189942551
21,0.877933333333,0.35017893606,0.0009999999310821295,0.8406,0.495005032921
22,0.892155555556,0.30665997333,0.0009999999310821295,0.8422,0.491212500286
23,0.898733333333,0.290463296625,0.0009999999310821295,0.844,0.495763927746
24,0.901644444444,0.278956867547,0.0009999999310821295,0.8458,0.498177054024
25,0.904688888889,0.273469181181,0.0009999999310821295,0.8428,0.496398014069
26,0.909333333333,0.2582541948,9.99999901978299e-05,0.8472,0.493634697819
